step,agent,post,peers,perspective,tokens,polarity,salience
0,0,"{'type': 'con', 'text': 'Just as the right to free speech is complemented by the right to silence, so the right to vote is balanced by the right of abstention.'}","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",[],"[5703, 355, 262, 826, 284, 1479, 4046, 318, 1224, 12061, 416, 262, 826, 284, 9550, 11, 523, 262, 826, 284, 3015, 318, 12974, 416, 262, 826, 286, 16552, 1463, 13]",0.48552451160111304,7.4313005749435845
0,1,"{'type': 'con', 'text': 'Just as the right to free speech is complemented by the right to silence, so the right to vote is balanced by the right of abstention.'}","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",[],"[5703, 355, 262, 826, 284, 1479, 4046, 318, 1224, 12061, 416, 262, 826, 284, 9550, 11, 523, 262, 826, 284, 3015, 318, 12974, 416, 262, 826, 286, 16552, 1463, 13]",0.48552451160111304,7.4313005749435845
0,2,"{'type': 'pro', 'text': 'Low participation rates are doubly dangerous. They mean our politicians are not representative of the population as a whole.'}","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",[],"[20535, 10270, 3965, 389, 3385, 306, 4923, 13, 1119, 1612, 674, 7602, 389, 407, 8852, 286, 262, 3265, 355, 257, 2187, 13]",0.48552451160111304,7.4313005749435845
0,3,"{'type': 'con', 'text': 'Just as the right to free speech is complemented by the right to silence, so the right to vote is balanced by the right of abstention.'}","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",[],"[5703, 355, 262, 826, 284, 1479, 4046, 318, 1224, 12061, 416, 262, 826, 284, 9550, 11, 523, 262, 826, 284, 3015, 318, 12974, 416, 262, 826, 286, 16552, 1463, 13]",0.48552451160111304,7.4313005749435845
0,4,"{'type': 'con', 'text': 'Peoples right to abstain from voting should not be taken away by politicians who want to hide the fact of their upopularity and irrelevance in society.'}","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",[],"[6435, 12614, 826, 284, 16552, 391, 422, 6709, 815, 407, 307, 2077, 1497, 416, 7602, 508, 765, 284, 7808, 262, 1109, 286, 511, 510, 404, 33737, 290, 11331, 2768, 590, 287, 3592, 13]",0.48552451160111304,7.4313005749435845
0,5,"{'type': 'pro', 'text': 'Low participation rates are doubly dangerous. They mean our politicians are not representative of the population as a whole.'}","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",[],"[20535, 10270, 3965, 389, 3385, 306, 4923, 13, 1119, 1612, 674, 7602, 389, 407, 8852, 286, 262, 3265, 355, 257, 2187, 13]",0.48552451160111304,7.4313005749435845
0,6,"{'type': 'con', 'text': ""There are many reasons why people don't vote. None of these motivations can be affected by forcing people to vote – those who cannot will continue not to, and those who are not interested will vote randomly.""}","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",[],"[1858, 389, 867, 3840, 1521, 661, 836, 470, 3015, 13, 6045, 286, 777, 28140, 460, 307, 5676, 416, 10833, 661, 284, 3015, 784, 883, 508, 2314, 481, 2555, 407, 284, 11, 290, 883, 508, 389, 407, 4609, 481, 3015, 15456, 13]",0.48552451160111304,7.4313005749435845
0,7,"{'type': 'pro', 'text': 'Turnout in British election is distressingly low. Compulsory voting might fix this problem and increase the legitimacy of our government.'}","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",[],"[17278, 448, 287, 3517, 3071, 318, 17087, 4420, 1877, 13, 3082, 5753, 652, 6709, 1244, 4259, 428, 1917, 290, 2620, 262, 22726, 286, 674, 1230, 13]",0.48552451160111304,7.4313005749435845
0,8,"{'type': 'pro', 'text': 'In the 1998 local elections, turnout averaged no more than 30 per cent, and in some areas under 20 per cent. Even in the 1997 general election, almost 30 per cent of the population did not vote.'}","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",[],"[818, 262, 7795, 1957, 7024, 11, 21666, 16449, 645, 517, 621, 1542, 583, 1247, 11, 290, 287, 617, 3006, 739, 1160, 583, 1247, 13, 3412, 287, 262, 8309, 2276, 3071, 11, 2048, 1542, 583, 1247, 286, 262, 3265, 750, 407, 3015, 13]",0.48552451160111304,7.4313005749435845
0,9,"{'type': 'pro', 'text': 'We compel people to wear seatbelts and to serve on juries and we should not be afraid to do the same in the case of voting.'}","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",[],"[1135, 33729, 661, 284, 5806, 5852, 6667, 912, 290, 284, 4691, 319, 474, 4740, 290, 356, 815, 407, 307, 7787, 284, 466, 262, 976, 287, 262, 1339, 286, 6709, 13]",0.48552451160111304,7.4313005749435845
