step,agent,post,peers,context,tokens
0,0,"{'type': 'pro', 'text': 'Voting is compulsory in other countries, for instance in Australia. We should adopt the same system to secure greater democratic involvement.'}","[0, 2, 4, 6, 8]",[],"[53, 10720, 318, 31967, 287, 584, 2678, 11, 329, 4554, 287, 4505, 13, 775, 815, 11206, 262, 976, 1080, 284, 5713, 3744, 10518, 9750, 13]"
0,1,"{'type': 'con', 'text': ""There are many reasons why people don't vote. None of these motivations can be affected by forcing people to vote – those who cannot will continue not to, and those who are not interested will vote randomly.""}","[1, 3, 5, 7, 9]",[],"[1858, 389, 867, 3840, 1521, 661, 836, 470, 3015, 13, 6045, 286, 777, 28140, 460, 307, 5676, 416, 10833, 661, 284, 3015, 784, 883, 508, 2314, 481, 2555, 407, 284, 11, 290, 883, 508, 389, 407, 4609, 481, 3015, 15456, 13]"
0,2,"{'type': 'pro', 'text': 'Since the poor and disadvantaged are far less likely to vote than any other group, they can safely be ignored by mainstream politicians. The only way to break this cacle is mandatory voting.'}","[0, 2, 4, 6, 8]",[],"[6385, 262, 3595, 290, 36327, 389, 1290, 1342, 1884, 284, 3015, 621, 597, 584, 1448, 11, 484, 460, 11512, 307, 9514, 416, 8661, 7602, 13, 383, 691, 835, 284, 2270, 428, 269, 6008, 318, 13677, 6709, 13]"
0,3,"{'type': 'con', 'text': ""Many people cannot get away from their work, or find someone to look after their children. And that's the reason why they don't vote.""}","[1, 3, 5, 7, 9]",[],"[7085, 661, 2314, 651, 1497, 422, 511, 670, 11, 393, 1064, 2130, 284, 804, 706, 511, 1751, 13, 843, 326, 338, 262, 1738, 1521, 484, 836, 470, 3015, 13]"
0,4,"{'type': 'pro', 'text': 'Low participation rates are doubly dangerous. They mean our politicians are not representative of the population as a whole.'}","[0, 2, 4, 6, 8]",[],"[20535, 10270, 3965, 389, 3385, 306, 4923, 13, 1119, 1612, 674, 7602, 389, 407, 8852, 286, 262, 3265, 355, 257, 2187, 13]"
0,5,"{'type': 'con', 'text': ""The alleged crisis of democracy does not allow for infringing an individual's liberty, including the liberty to abstain from voting.""}","[1, 3, 5, 7, 9]",[],"[464, 4260, 4902, 286, 7996, 857, 407, 1249, 329, 43498, 281, 1981, 338, 12354, 11, 1390, 262, 12354, 284, 16552, 391, 422, 6709, 13]"
0,6,"{'type': 'pro', 'text': 'Voting is compulsory in other countries, for instance in Australia. We should adopt the same system to secure greater democratic involvement.'}","[0, 2, 4, 6, 8]",[],"[53, 10720, 318, 31967, 287, 584, 2678, 11, 329, 4554, 287, 4505, 13, 775, 815, 11206, 262, 976, 1080, 284, 5713, 3744, 10518, 9750, 13]"
0,7,"{'type': 'con', 'text': ""The alleged crisis of democracy does not allow for infringing an individual's liberty, including the liberty to abstain from voting.""}","[1, 3, 5, 7, 9]",[],"[464, 4260, 4902, 286, 7996, 857, 407, 1249, 329, 43498, 281, 1981, 338, 12354, 11, 1390, 262, 12354, 284, 16552, 391, 422, 6709, 13]"
0,8,"{'type': 'pro', 'text': 'Low participation rates are doubly dangerous. They mean our politicians are not representative of the population as a whole.'}","[0, 2, 4, 6, 8]",[],"[20535, 10270, 3965, 389, 3385, 306, 4923, 13, 1119, 1612, 674, 7602, 389, 407, 8852, 286, 262, 3265, 355, 257, 2187, 13]"
0,9,"{'type': 'con', 'text': ""The alleged crisis of democracy does not allow for infringing an individual's liberty, including the liberty to abstain from voting.""}","[1, 3, 5, 7, 9]",[],"[464, 4260, 4902, 286, 7996, 857, 407, 1249, 329, 43498, 281, 1981, 338, 12354, 11, 1390, 262, 12354, 284, 16552, 391, 422, 6709, 13]"
